"em","sector","year","proxy_file","proxybackup_file"
"H2","Residential, Commercial, Other",2050,"CO_2015_RCO","population_2015"
"H2","Residential, Commercial, Other",2060,"CO_2015_RCO","population_2015"
"H2","Residential, Commercial, Other",2070,"CO_2015_RCO","population_2015"
"H2","Residential, Commercial, Other",2080,"CO_2015_RCO","population_2015"
"H2","Residential, Commercial, Other",2090,"CO_2015_RCO","population_2015"
"H2","Residential, Commercial, Other",2100,"CO_2015_RCO","population_2015"

"H2","Solvents production and application",2015,"CO_2015_SLV","population_2015"
"H2","Solvents production and application",2020,"CO_2015_SLV","population_2015"
"H2","Solvents production and application",2030,"CO_2015_SLV","population_2015"
"H2","Solvents production and application",2040,"CO_2015_SLV","population_2015"
"H2","Solvents production and application",2050,"CO_2015_SLV","population_2015"
"H2","Solvents production and application",2060,"CO_2015_SLV","population_2015"
"H2","Solvents production and application",2070,"CO_2015_SLV","population_2015"
"H2","Solvents production and application",2080,"CO_2015_SLV","population_2015"
"H2","Solvents production and application",2090,"CO_2015_SLV","population_2015"
"H2","Solvents production and application",2100,"CO_2015_SLV","population_2015"

"H2","Waste",2015,"CO_2015_WST","population_2015"
"H2","Waste",2020,"CO_2015_WST","population_2015"
"H2","Waste",2030,"CO_2015_WST","population_2015"
"H2","Waste",2040,"CO_2015_WST","population_2015"
"H2","Waste",2050,"CO_2015_WST","population_2015"
"H2","Waste",2060,"CO_2015_WST","population_2015"
"H2","Waste",2070,"CO_2015_WST","population_2015"
"H2","Waste",2080,"CO_2015_WST","population_2015"
"H2","Waste",2090,"CO_2015_WST","population_2015"
"H2","Waste",2100,"CO_2015_WST","population_2015"
